epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,796.923,0.84171,0.52833,0.93842,0.98822,0.98238,0.987,0.79993,0.67647,0.42717,0.89178,0.000245753,0.000245753,0.000245753
120,803.895,0.84859,0.53678,0.94306,0.9883,0.98174,0.987,0.79191,0.71933,0.42803,0.89927,0.000238421,0.000238421,0.000238421
121,810.796,0.86028,0.52209,0.93644,0.97373,0.98757,0.98678,0.80754,0.6667,0.41237,0.89188,0.000231088,0.000231088,0.000231088
122,817.755,0.85518,0.52727,0.94687,0.97483,0.98644,0.98678,0.78203,0.76831,0.43879,0.90901,0.000223755,0.000223755,0.000223755
123,824.722,0.8511,0.53362,0.93794,0.98083,0.97108,0.98657,0.81527,0.65774,0.43011,0.89491,0.000216423,0.000216423,0.000216423
124,831.682,0.87634,0.54064,0.95209,0.98524,0.95844,0.98657,0.80526,0.70264,0.43419,0.90748,0.00020909,0.00020909,0.00020909
125,838.598,0.81796,0.50882,0.93862,0.96319,0.98382,0.98678,0.79128,0.74938,0.44152,0.91303,0.000201758,0.000201758,0.000201758
126,845.504,0.85975,0.5244,0.95152,0.97298,0.98013,0.98678,0.80868,0.68942,0.42971,0.9022,0.000194425,0.000194425,0.000194425
127,852.429,0.86844,0.54823,0.93341,0.97344,0.98647,0.98678,0.8102,0.67204,0.42346,0.9002,0.000187092,0.000187092,0.000187092
128,859.363,0.84986,0.52582,0.94502,0.97919,0.9913,0.98678,0.79901,0.70226,0.42372,0.90265,0.00017976,0.00017976,0.00017976
129,866.315,0.83205,0.51018,0.93619,0.97884,0.99115,0.98678,0.80492,0.69444,0.42028,0.89889,0.000172427,0.000172427,0.000172427
130,873.313,0.8459,0.53281,0.94013,0.98926,0.98102,0.987,0.81395,0.65777,0.41053,0.89008,0.000165095,0.000165095,0.000165095
131,880.223,0.83731,0.5102,0.93179,0.98877,0.98037,0.987,0.80554,0.68244,0.41504,0.89337,0.000157762,0.000157762,0.000157762
132,887.18,0.77874,0.49899,0.9195,0.98605,0.98278,0.987,0.81919,0.64185,0.40318,0.88798,0.000150429,0.000150429,0.000150429
133,894.102,0.81912,0.49738,0.9429,0.98751,0.98709,0.987,0.81795,0.65219,0.40343,0.88884,0.000143097,0.000143097,0.000143097
134,901.076,0.79883,0.50137,0.92957,0.98739,0.98672,0.987,0.80251,0.69372,0.41081,0.8953,0.000135764,0.000135764,0.000135764
135,908.095,0.81884,0.50736,0.9284,0.98836,0.98565,0.987,0.81494,0.64589,0.40419,0.88791,0.000128432,0.000128432,0.000128432
136,914.974,0.80143,0.4906,0.93671,0.98709,0.98745,0.987,0.81391,0.62978,0.39933,0.88629,0.000121099,0.000121099,0.000121099
137,922.006,0.79418,0.49529,0.93046,0.98635,0.98928,0.987,0.81046,0.6332,0.39833,0.88703,0.000113766,0.000113766,0.000113766
138,929.022,0.82308,0.51077,0.9288,0.98734,0.98977,0.987,0.81216,0.61672,0.39786,0.88519,0.000106434,0.000106434,0.000106434
139,935.951,0.80401,0.50083,0.93241,0.98608,0.98899,0.987,0.81268,0.63706,0.40299,0.88855,9.91012e-05,9.91012e-05,9.91012e-05
140,942.946,0.81581,0.50696,0.94913,0.98491,0.98805,0.987,0.80419,0.66338,0.40604,0.89476,9.17686e-05,9.17686e-05,9.17686e-05
141,950.329,0.69707,0.47157,0.89831,0.9792,0.98374,0.98619,0.80656,0.66491,0.4094,0.89613,8.4436e-05,8.4436e-05,8.4436e-05
142,957.202,0.67774,0.43742,0.88068,0.9792,0.98715,0.98619,0.81694,0.65924,0.40874,0.89278,7.71034e-05,7.71034e-05,7.71034e-05
143,964.006,0.64697,0.42892,0.88272,0.97573,0.98953,0.98619,0.80758,0.70413,0.41353,0.89948,6.97708e-05,6.97708e-05,6.97708e-05
144,970.812,0.68569,0.44949,0.88255,0.99198,0.97535,0.987,0.8117,0.69556,0.41002,0.89982,6.24382e-05,6.24382e-05,6.24382e-05
145,977.603,0.6852,0.43835,0.87572,0.98823,0.97986,0.987,0.81703,0.67736,0.40507,0.89827,5.51056e-05,5.51056e-05,5.51056e-05
146,984.398,0.6553,0.42863,0.87147,0.97817,0.98928,0.987,0.82202,0.67763,0.40692,0.9004,4.7773e-05,4.7773e-05,4.7773e-05
147,991.286,0.65485,0.42264,0.87341,0.9885,0.97733,0.987,0.82083,0.68683,0.40822,0.90247,4.04404e-05,4.04404e-05,4.04404e-05
148,998.124,0.64686,0.41272,0.8739,0.98596,0.97477,0.987,0.81103,0.70028,0.41157,0.90375,3.31078e-05,3.31078e-05,3.31078e-05
149,1004.95,0.60928,0.41267,0.85914,0.97714,0.98917,0.987,0.809,0.69229,0.40938,0.90217,2.57752e-05,2.57752e-05,2.57752e-05
150,1011.73,0.62822,0.41076,0.86583,0.9775,0.98877,0.987,0.81312,0.66505,0.40452,0.89889,1.84426e-05,1.84426e-05,1.84426e-05
